,CumBOE,CumGas,CumOil,DrillType,Field,First6BOE,FirstProdDate,GrossPerforatedInterval,HorizontalLength,LowerPerforation,OperatorAlias,Range,TargetFormation,TotalDepth,Township,TreatmentJobCount,UpperPerforation,VerticalDepth,WellName,WellNumber,gel,sandmass,slick,xlinkgel
5123406940000,97917.0,295132.0,48728.0,H,WATTENBERG,63975.0,2017-04-01,4234.0,4523.3,11627.0,EXTRACTION O&G,65W,NIOBRARA,11681.0,06N,2.0,7393.0,6985.0,MATRIX,F-29HN,0.0,8276280.970178177,1.0,1.0
5123406950000,86410.0,280410.0,39675.0,H,WATTENBERG,27501.0,2015-06-01,4562.0,4441.99,11709.0,EXTRACTION O&G,65W,NIOBRARA,11762.0,06N,1.0,7147.0,6928.0,MATRIX,Q-29HN,0.0,2576171.5802029865,1.0,1.0
5123406980000,86607.0,286854.0,38798.0,H,WATTENBERG,36207.0,2015-06-01,3794.0,4347.58,11643.0,EXTRACTION O&G,65W,NIOBRARA,11735.0,06N,1.0,7849.0,7016.0,MATRIX,M-29HN,0.0,2566978.9624351095,1.0,1.0
5123407000000,115313.0,408985.0,47149.0,H,WATTENBERG,32652.0,2015-06-01,3953.0,4400.19,11580.0,EXTRACTION O&G,65W,NIOBRARA,11700.0,06N,1.0,7627.0,6936.0,MATRIX,O-29HN,0.0,3640663.3408681545,1.0,1.0
5123407010000,129126.0,406339.0,61403.0,H,WATTENBERG,51793.0,2015-06-01,3865.0,4303.31,11491.0,EXTRACTION O&G,65W,NIOBRARA,11545.0,06N,1.0,7626.0,7027.0,MATRIX,J-29HN,0.0,2510684.810913957,1.0,1.0
5123407020000,115941.0,397779.0,49645.0,H,WATTENBERG,44406.0,2015-06-01,3952.0,4291.75,11452.0,EXTRACTION O&G,65W,NIOBRARA,11476.0,06N,1.0,7500.0,6944.0,MATRIX,K-29HN,0.0,3033195.5361830164,1.0,1.0
5123407030000,114914.0,379879.0,51601.0,H,WATTENBERG,31591.0,2015-06-01,3459.0,4479.03,11282.0,EXTRACTION O&G,65W,CODELL,11863.0,06N,2.0,7823.0,7101.0,MATRIX,P-29HC,0.0,3633353.0218803715,1.0,1.0
5123407040000,105974.0,356526.0,46553.0,H,WATTENBERG,31982.0,2015-06-01,3739.0,4309.09,11438.0,EXTRACTION O&G,65W,CODELL,11492.0,06N,1.0,7699.0,7118.0,MATRIX,L-29HC,0.0,3109169.3365519196,1.0,1.0
5123407050000,92057.0,264099.0,48041.0,H,WATTENBERG,59660.0,2017-04-01,4222.0,4630.95,11622.0,EXTRACTION O&G,65W,NIOBRARA,11685.0,06N,1.0,7400.0,7041.0,MATRIX,E-29HN,0.0,8276280.970178178,1.0,1.0
5123407140000,147059.0,673790.0,34761.0,H,WATTENBERG,60335.0,2015-12-01,,3985.39,,PDC ENERGY,65W,NIOBRARA,11694.0,04N,1.0,,7071.0,PESCHEL,20G-332,0.0,3200044.5798028214,1.0,1.0
5123407150000,155151.0,714703.0,36034.0,H,WATTENBERG,61264.0,2015-12-01,,3922.81,,PDC ENERGY,65W,NIOBRARA,11583.0,04N,1.0,,6999.0,PESCHEL,20G-232,0.0,2898240.7522195564,1.0,1.0
5123407160000,165675.0,730239.0,43968.0,H,WATTENBERG,75546.0,2016-01-01,,3827.47,,PDC ENERGY,65W,NIOBRARA,11597.0,04N,1.0,,7071.0,PESCHEL,20H-302,0.0,2591328.1071597068,1.0,1.0
5123407170000,156686.0,716050.0,37344.0,H,WATTENBERG,61835.0,2015-12-01,,4049.21,,PDC ENERGY,65W,NIOBRARA,11657.0,04N,1.0,,6999.0,PESCHEL,20G-202,0.0,3146790.1098816902,1.0,1.0
5123407180000,169073.0,779013.0,39238.0,H,WATTENBERG,72476.0,2016-01-01,,3812.56,,PDC ENERGY,65W,NIOBRARA,11500.0,04N,1.0,,6986.0,PESCHEL,20H-202,0.0,3708323.2988008666,1.0,1.0
5123407230000,93345.0,60481.0,83265.0,H,DJ HORIZONTAL CODELL,60243.0,2017-04-01,8806.0,9477.54,18546.0,LONGS PEAK RESOURCES ,66W,CODELL,18802.0,N,1.0,9740.0,9213.0,PISMO EAST,35-2-2-2CH,0.0,514.7206235371061,1.0,0.0
